m_pos_vars,d_coef_econ,d_coef_loc,d_coef_glob,d_id,d_experiment,m_neg_vars,is_correct_model,m_stanfile,csv_filename,seed,Econ_coef_glm,Glob_coef_glm,Loc_coef_glm,ac_dist_coef_glm,acoustic_distance,Econ_glm_diff,Glob_glm_diff,Loc_glm_diff,ac_dist_diff,intercept_brms_coef,Econ_brms_coef,Glob_brms_coef,Loc_brms_coef,ac_dist_brms_coef,intercept_brms_rhat,Econ_brms_rhat,Glob_brms_rhat,Loc_brms_rhat,ac_dist_brms_rhat,econ_sd,glob_sd,loc_sd
NA,-1,-1,-1,dinst4,hindi,Econ+Glob+Loc,TRUE,stan_models/master_neg.stan,hindi/dinst4/econ_-1_loc_-1_glob_-1.csv,4520.181142645422,-0.9156327846670758,-0.7537348430838228,-0.25703847421496195,0.1417352754413763,-0.1784,0.08436721533292424,0.24626515691617723,0.742961525785038,0.3201352754413763,1.2956270050207184,-0.760185071758544,-0.8654228972126514,-0.948590797724198,-0.15274973371338338,0.9994872511918215,1.002663246946976,1.0004256996758043,1.0012838012660081,0.9999561124873796,0.29823185873960617,0.307321013472405,0.307321013472405
NA,0,-1,-1,dinst4,hindi,Econ+Glob+Loc,TRUE,stan_models/master_neg.stan,hindi/dinst4/econ_0_loc_-1_glob_-1.csv,3452.4625090840273,0.5008966189564621,-0.7880198895077587,-2.5485063411785513,0.150367467068731,-0.1784,0.5008966189564621,0.2119801104922413,-1.5485063411785513,0.328767467068731,1.5275752098104398,0.7242635372895411,-0.9240397405181577,-3.4734913153383995,-0.21354809727204324,0.999872058728084,1.0005883677421934,1.0001488994546255,1.0003633691881941,0.9994866763949152,0.3351779384564467,0.34218554214923563,0.34218554214923563
Econ,1,-1,-1,dinst4,hindi,Glob+Loc,TRUE,stan_models/master_model.stan,hindi/dinst4/econ_1_loc_-1_glob_-1.csv,2898.550611995859,0.40666439444631214,-0.7996163464679364,0.46873472082905776,0.15893506817820857,-0.1784,-0.5933356055536878,0.20038365353206355,1.4687347208290578,0.3373350681782086,1.349527035733541,0.5994065075862767,-0.9167274978903547,-0.34720791046607025,-0.1817174249746782,1.0004509296172037,1.0011785947758682,0.9999297897497318,1.0010395561975751,0.9999693749123008,0.33912599861805465,0.3514555449194945,0.3514555449194945
NA,-1,0,-1,dinst4,hindi,Econ+Glob+Loc,TRUE,stan_models/master_neg.stan,hindi/dinst4/econ_-1_loc_0_glob_-1.csv,2809.039038395509,-1.3629973318850466,-1.160218248735419,2.0388055764001485,0.1454900479780128,-0.1784,-0.36299733188504657,-0.1602182487354189,2.0388055764001485,0.3238900479780128,1.2546479434617879,-1.1564743436082856,-1.295935942124327,1.1191988730090605,-0.1937422177325922,0.9999133798634774,1.0013398952973307,1.0002508788861497,1.0005919773487342,0.9995430125528714,0.31062934025998834,0.3230950346961406,0.3230950346961406
NA,0,0,-1,dinst4,hindi,Econ+Glob+Loc,TRUE,stan_models/master_neg.stan,hindi/dinst4/econ_0_loc_0_glob_-1.csv,6980.958336079726,-0.5083025115715489,-1.215483859613155,1.3089313129758837,0.15447467622257519,-0.1784,-0.5083025115715489,-0.21548385961315497,1.3089313129758837,0.33287467622257516,1.4025513157902063,-0.2359889775041578,-1.3848869860323216,0.11815459228274992,-0.2540335885888792,0.9994578436204431,0.9998038088564107,1.0007288491135382,0.9994127413935544,1.000077766941605,0.33302022891184396,0.3546559523283133,0.3546559523283133
Econ,1,0,-1,dinst4,hindi,Glob+Loc,TRUE,stan_models/master_model.stan,hindi/dinst4/econ_1_loc_0_glob_-1.csv,7540.833975513466,1.1985631286939642,-0.5528183872368883,-0.6504461547967271,0.1670724186634845,-0.1784,0.1985631286939642,0.44718161276311175,-0.6504461547967271,0.3454724186634845,1.4619943286323924,1.4008425224862149,-0.6869531913681287,-1.531310122524349,-0.1915331907545061,1.0000452946473575,0.999442833221832,0.999419739848576,1.0001279231639673,0.9995962668214998,0.3682100848743147,0.37680066755127734,0.37680066755127734
Loc,-1,1,-1,dinst4,hindi,Econ+Glob,TRUE,stan_models/master_model.stan,hindi/dinst4/econ_-1_loc_1_glob_-1.csv,9728.750454365276,-1.4630184656211358,-0.6796546954274025,3.030733910061307,0.1525793511893116,-0.1784,-0.4630184656211358,0.32034530457259747,2.030733910061307,0.3309793511893116,1.2734782905039075,-1.3111765360660619,-0.7792865670399874,2.3422253708348744,-0.14313499058310522,1.0002874963560087,0.9996505613325174,0.9998359703664412,1.0002281892227305,0.9994076534173707,0.3515776042566633,0.35363736555579184,0.35363736555579184
Loc,0,1,-1,dinst4,hindi,Econ+Glob,TRUE,stan_models/master_model.stan,hindi/dinst4/econ_0_loc_1_glob_-1.csv,892.4741516287904,-0.43266832040887193,-0.9061458194913846,3.39025595774512,0.1587095394262789,-0.1784,-0.43266832040887193,0.09385418050861538,2.39025595774512,0.3371095394262789,1.1689660415971495,-0.1920754998313538,-1.049501953331409,2.352799726537028,-0.21471252665390067,1.0004125340795351,0.9995974701589808,1.0005004141594562,1.0000581344072688,0.9993158787253147,0.3506229122868375,0.36883792551160643,0.36883792551160643
Econ+Loc,1,1,-1,dinst4,hindi,Glob,TRUE,stan_models/master_model.stan,hindi/dinst4/econ_1_loc_1_glob_-1.csv,9906.508849970764,0.9095283158517657,-0.7113737939531787,-0.10373005915552819,0.17243640960024947,-0.1784,-0.09047168414823425,0.2886262060468213,-1.1037300591555281,0.3508364096002495,1.554142493116097,1.015429784659668,-0.8213723209022437,-0.5975647918957298,-0.13085319936659803,0.9992858997556848,0.9994772135262808,0.9995409157734053,0.9993910541334776,1.000530213949069,0.4147845616636087,0.4156562080335972,0.4156562080335972
NA,-1,-1,0,dinst4,hindi,Econ+Glob+Loc,TRUE,stan_models/master_neg.stan,hindi/dinst4/econ_-1_loc_-1_glob_0.csv,414.2445796984248,-1.4374397437900577,0.2803890892700799,1.2867912380646143,0.14591726698021198,-0.1784,-0.4374397437900577,0.2803890892700799,2.2867912380646143,0.324317266980212,1.2184390533653122,-1.268915052637452,0.16093193802233902,0.5175914115089976,-0.15358549834305404,0.9998950446598602,0.9991961752448575,0.9995643872887341,0.9996274058275482,0.9992268448395688,0.3140702154299651,0.32780236898152565,0.32780236898152565
