m_pos_vars,d_coef_econ,d_coef_loc,d_coef_glob,d_id,d_experiment,m_neg_vars,is_correct_model,m_stanfile,csv_filename,seed,Econ_coef_glm,Glob_coef_glm,Loc_coef_glm,ac_dist_coef_glm,acoustic_distance,Econ_glm_diff,Glob_glm_diff,Loc_glm_diff,ac_dist_diff,intercept_brms_coef,Econ_brms_coef,Glob_brms_coef,Loc_brms_coef,ac_dist_brms_coef,intercept_brms_rhat,Econ_brms_rhat,Glob_brms_rhat,Loc_brms_rhat,ac_dist_brms_rhat,econ_sd,glob_sd,loc_sd
NA,-1,-1,-1,dinst2,hindi,Econ+Glob+Loc,TRUE,stan_models/master_neg.stan,hindi/dinst2/econ_-1_loc_-1_glob_-1.csv,588.5503373830579,-0.4893082285185623,-0.7187276164451079,-1.5290796788728045,-0.13065948273951258,-0.1784,0.5106917714814376,0.28127238355489215,-0.5290796788728045,0.04774051726048742,1.2893312890034627,-0.49837504828714757,-0.7229787400866351,-1.4422667782570326,-0.1275220807476449,0.9992823237958599,0.999675678464208,0.9994349967892409,0.9994049760446346,0.9998046577224791,0.6181397997474798,0.6629834594367373,0.6629834594367373
NA,0,-1,-1,dinst2,hindi,Econ+Glob+Loc,TRUE,stan_models/master_neg.stan,hindi/dinst2/econ_0_loc_-1_glob_-1.csv,6714.33368792478,-0.410086487743252,-1.1276147019369014,1.1826487099385024,-0.08681577703837086,-0.1784,-0.410086487743252,-0.1276147019369014,2.182648709938502,0.09158422296162914,1.1767641627867036,-0.3769557555728321,-1.1336658740332421,1.0905176428402448,-0.08770887455489139,1.0011131215569242,1.0006272884249685,0.9992131997349211,1.001816601683397,0.9995488345563501,0.5680011707995056,0.6016297028743722,0.6016297028743722
Econ,1,-1,-1,dinst2,hindi,Glob+Loc,TRUE,stan_models/master_model.stan,hindi/dinst2/econ_1_loc_-1_glob_-1.csv,3779.409369577421,0.321425730560216,-1.9486869053214044,-0.27215004985125396,-0.19977884015042358,-0.1784,-0.678574269439784,-0.9486869053214044,0.7278499501487461,-0.021378840150423573,1.5169712183856185,0.3383946625973464,-1.9659959563006306,-0.3184509783833536,-0.20166236066258947,0.9995565994121887,1.000385725547075,0.9994111309354222,0.9999793058889717,0.999798613360718,0.59233331547133,0.6174362264331816,0.6174362264331816
NA,-1,0,-1,dinst2,hindi,Econ+Glob+Loc,TRUE,stan_models/master_neg.stan,hindi/dinst2/econ_-1_loc_0_glob_-1.csv,5261.300241014687,-0.9310401756289897,-2.0963787061784367,-2.1822459847442097,-0.26537759658659915,-0.1784,0.06895982437101034,-1.0963787061784367,-2.1822459847442097,-0.08697759658659915,1.7485877804165977,-0.9408705242333163,-2.1072607672285515,-2.187103690959209,-0.26771275418717394,0.9991612687812773,1.0000541841126496,1.0008395892126773,0.999165045525425,1.0007959849703285,0.5686218584361076,0.5925523023967726,0.5925523023967726
NA,0,0,-1,dinst2,hindi,Econ+Glob+Loc,TRUE,stan_models/master_neg.stan,hindi/dinst2/econ_0_loc_0_glob_-1.csv,8146.5369453500025,-0.5937998570491857,-0.001313445225675663,1.8709620951525263,-0.14522719001517861,-0.1784,-0.5937998570491857,0.9986865547743243,1.8709620951525263,0.03317280998482139,1.077618258428396,-0.5625658943867121,-0.04034281383858697,1.6214749136642552,-0.15077214724936927,0.9999127617813713,0.9998529895810755,1.000946787874478,0.9991827638286623,0.9999162059737022,0.5939769344041607,0.6170589267723403,0.6170589267723403
Econ,1,0,-1,dinst2,hindi,Glob+Loc,TRUE,stan_models/master_model.stan,hindi/dinst2/econ_1_loc_0_glob_-1.csv,118.66334504913539,1.040306457132095,-1.4119866050092829,-1.6522262268701633,-0.20033257203978763,-0.1784,0.04030645713209502,-0.41198660500928286,-1.6522262268701633,-0.02193257203978763,1.6035062450398765,1.0338233628544995,-1.4154406713385332,-1.5788740529813365,-0.20218380068221445,1.0006918958005215,0.9998129330209478,0.999826306028195,1.0005450603197605,1.0002817836893767,0.6266593850145818,0.641289230844183,0.641289230844183
Loc,-1,1,-1,dinst2,hindi,Econ+Glob,TRUE,stan_models/master_model.stan,hindi/dinst2/econ_-1_loc_1_glob_-1.csv,6967.630498818122,-1.171284802810085,-1.4830641043202606,0.4642531525272207,-0.2798404479852703,-0.1784,-0.17128480281008507,-0.4830641043202606,-0.5357468474727793,-0.1014404479852703,1.5382059484534234,-1.1698627831855062,-1.4957709674998565,0.4552907547109817,-0.28516627071238304,0.9993233535977031,0.9998534534266629,1.0002153086782757,0.999658519985474,0.9993342766619118,0.6139554213959797,0.6475995996608593,0.6475995996608593
Loc,0,1,-1,dinst2,hindi,Econ+Glob,TRUE,stan_models/master_model.stan,hindi/dinst2/econ_0_loc_1_glob_-1.csv,1578.0523793576285,-0.42586970917555533,-1.0917621510282658,2.4544088036613063,-0.29993509323497264,-0.1784,-0.42586970917555533,-0.09176215102826579,1.4544088036613063,-0.12153509323497264,1.281698592130134,-0.4171352263967783,-1.1347939436675827,2.4006257918681912,-0.30724510458533616,0.9994661162895386,1.0001253300146962,1.0000944068283908,0.99971987273365,0.9994297422672378,0.6474707367666448,0.696117626082705,0.696117626082705
Econ+Loc,1,1,-1,dinst2,hindi,Glob,TRUE,stan_models/master_model.stan,hindi/dinst2/econ_1_loc_1_glob_-1.csv,6948.592902729055,1.3114170168907573,-1.32505854679418,-1.2475574208531566,-0.26115552791178154,-0.1784,0.3114170168907573,-0.32505854679418,-2.2475574208531564,-0.08275552791178153,1.5809930336089268,1.2790635277111848,-1.3455035435599132,-1.0721356075759556,-0.2595891175679985,0.9996222767766475,1.001318151046183,0.9997814807969683,1.0000440318011687,0.9999556899355315,0.6293024136288538,0.6574335444001912,0.6574335444001912
NA,-1,-1,0,dinst2,hindi,Econ+Glob+Loc,TRUE,stan_models/master_neg.stan,hindi/dinst2/econ_-1_loc_-1_glob_0.csv,5479.2688981180545,-1.4120815088986691,-0.709790788820341,-1.6115228508692327,-0.21383592994533607,-0.1784,-0.4120815088986691,-0.709790788820341,-0.6115228508692327,-0.035435929945336064,1.5897680664920262,-1.435123073244613,-0.6909075932259302,-1.4707392913053408,-0.20863650859571534,0.9993298714510398,0.9994953768204506,0.9993657121248353,0.9993221219260917,0.9991307606783836,0.6276386788906037,0.6505404360049104,0.6505404360049104
