m_pos_vars,d_coef_econ,d_coef_loc,d_coef_glob,d_id,d_experiment,m_neg_vars,is_correct_model,m_stanfile,csv_filename,seed,Econ_coef_glm,Glob_coef_glm,Loc_coef_glm,ac_dist_coef_glm,acoustic_distance,Econ_glm_diff,Glob_glm_diff,Loc_glm_diff,ac_dist_diff
NA,-1,-1,-1,dinst4,hindi,Econ+Glob+Loc,TRUE,stan_models/master_neg.stan,hindi/dinst4/econ_-1_loc_-1_glob_-1.csv,4520.181142645422,-0.9156327846670758,-0.7537348430838228,-0.25703847421496195,0.1417352754413763,-0.1784,0.08436721533292424,0.24626515691617723,0.742961525785038,0.3201352754413763
NA,0,-1,-1,dinst4,hindi,Econ+Glob+Loc,TRUE,stan_models/master_neg.stan,hindi/dinst4/econ_0_loc_-1_glob_-1.csv,3452.4625090840273,0.5008966189564621,-0.7880198895077587,-2.5485063411785513,0.150367467068731,-0.1784,0.5008966189564621,0.2119801104922413,-1.5485063411785513,0.328767467068731
Econ,1,-1,-1,dinst4,hindi,Glob+Loc,TRUE,stan_models/master_model.stan,hindi/dinst4/econ_1_loc_-1_glob_-1.csv,2898.550611995859,0.40666439444631214,-0.7996163464679364,0.46873472082905776,0.15893506817820857,-0.1784,-0.5933356055536878,0.20038365353206355,1.4687347208290578,0.3373350681782086
NA,-1,0,-1,dinst4,hindi,Econ+Glob+Loc,TRUE,stan_models/master_neg.stan,hindi/dinst4/econ_-1_loc_0_glob_-1.csv,2809.039038395509,-1.3629973318850466,-1.160218248735419,2.0388055764001485,0.1454900479780128,-0.1784,-0.36299733188504657,-0.1602182487354189,2.0388055764001485,0.3238900479780128
NA,0,0,-1,dinst4,hindi,Econ+Glob+Loc,TRUE,stan_models/master_neg.stan,hindi/dinst4/econ_0_loc_0_glob_-1.csv,6980.958336079726,-0.5083025115715489,-1.215483859613155,1.3089313129758837,0.15447467622257519,-0.1784,-0.5083025115715489,-0.21548385961315497,1.3089313129758837,0.33287467622257516
Econ,1,0,-1,dinst4,hindi,Glob+Loc,TRUE,stan_models/master_model.stan,hindi/dinst4/econ_1_loc_0_glob_-1.csv,7540.833975513466,1.1985631286939642,-0.5528183872368883,-0.6504461547967271,0.1670724186634845,-0.1784,0.1985631286939642,0.44718161276311175,-0.6504461547967271,0.3454724186634845
Loc,-1,1,-1,dinst4,hindi,Econ+Glob,TRUE,stan_models/master_model.stan,hindi/dinst4/econ_-1_loc_1_glob_-1.csv,9728.750454365276,-1.4630184656211358,-0.6796546954274025,3.030733910061307,0.1525793511893116,-0.1784,-0.4630184656211358,0.32034530457259747,2.030733910061307,0.3309793511893116
Loc,0,1,-1,dinst4,hindi,Econ+Glob,TRUE,stan_models/master_model.stan,hindi/dinst4/econ_0_loc_1_glob_-1.csv,892.4741516287904,-0.43266832040887193,-0.9061458194913846,3.39025595774512,0.1587095394262789,-0.1784,-0.43266832040887193,0.09385418050861538,2.39025595774512,0.3371095394262789
Econ+Loc,1,1,-1,dinst4,hindi,Glob,TRUE,stan_models/master_model.stan,hindi/dinst4/econ_1_loc_1_glob_-1.csv,9906.508849970764,0.9095283158517657,-0.7113737939531787,-0.10373005915552819,0.17243640960024947,-0.1784,-0.09047168414823425,0.2886262060468213,-1.1037300591555281,0.3508364096002495
NA,-1,-1,0,dinst4,hindi,Econ+Glob+Loc,TRUE,stan_models/master_neg.stan,hindi/dinst4/econ_-1_loc_-1_glob_0.csv,414.2445796984248,-1.4374397437900577,0.2803890892700799,1.2867912380646143,0.14591726698021198,-0.1784,-0.4374397437900577,0.2803890892700799,2.2867912380646143,0.324317266980212
NA,0,-1,0,dinst4,hindi,Econ+Glob+Loc,TRUE,stan_models/master_neg.stan,hindi/dinst4/econ_0_loc_-1_glob_0.csv,9102.91855970351,-0.489318044832272,-0.30618176155718846,0.7405414037172846,0.1547034581603794,-0.1784,-0.489318044832272,-0.30618176155718846,1.7405414037172846,0.3331034581603794
Econ,1,-1,0,dinst4,hindi,Glob+Loc,TRUE,stan_models/master_model.stan,hindi/dinst4/econ_1_loc_-1_glob_0.csv,6112.3481557571795,0.9677040289426099,0.17847736478187953,-0.09226662208847855,0.16396226847424508,-0.1784,-0.03229597105739013,0.17847736478187953,0.9077333779115214,0.3423622684742451
NA,-1,0,0,dinst4,hindi,Econ+Glob+Loc,TRUE,stan_models/master_neg.stan,hindi/dinst4/econ_-1_loc_0_glob_0.csv,4585.120427808259,-1.5544613267424066,-0.06932904670691234,0.8184026523127645,0.149006990093294,-0.1784,-0.5544613267424066,-0.06932904670691234,0.8184026523127645,0.327406990093294
NA,0,0,0,dinst4,hindi,Econ+Glob+Loc,TRUE,stan_models/master_neg.stan,hindi/dinst4/econ_0_loc_0_glob_0.csv,1141.6719303084537,-0.30985042275856767,0.36311762509649104,2.514522831744254,0.15965564572171548,-0.1784,-0.30985042275856767,0.36311762509649104,2.514522831744254,0.3380556457217155
Econ,1,0,0,dinst4,hindi,Glob+Loc,TRUE,stan_models/master_model.stan,hindi/dinst4/econ_1_loc_0_glob_0.csv,6892.743480853271,0.5652729450911423,0.36219321142009103,2.3115396646919506,0.17045470273920088,-0.1784,-0.43472705490885766,0.36219321142009103,2.3115396646919506,0.3488547027392009
Loc,-1,1,0,dinst4,hindi,Econ+Glob,TRUE,stan_models/master_model.stan,hindi/dinst4/econ_-1_loc_1_glob_0.csv,2540.9755592695437,-1.0762606080555994,0.3399482432256446,1.6178765080576536,0.15735484063357166,-0.1784,-0.07626060805559942,0.3399482432256446,0.6178765080576536,0.33575484063357164
Loc,0,1,0,dinst4,hindi,Econ+Glob,TRUE,stan_models/master_model.stan,hindi/dinst4/econ_0_loc_1_glob_0.csv,863.9397123933304,-0.7233692346019487,-0.7944512875751631,2.0539260231111784,0.16723623425896403,-0.1784,-0.7233692346019487,-0.7944512875751631,1.0539260231111784,0.34563623425896406
Econ+Loc,1,1,0,dinst4,hindi,Glob,TRUE,stan_models/master_model.stan,hindi/dinst4/econ_1_loc_1_glob_0.csv,9014.922196513042,0.9666555292438639,0.0746748774949253,1.1908422524045377,0.17964356322204278,-0.1784,-0.03334447075613611,0.0746748774949253,0.19084225240453767,0.3580435632220428
Glob,-1,-1,1,dinst4,hindi,Econ+Loc,TRUE,stan_models/master_model.stan,hindi/dinst4/econ_-1_loc_-1_glob_1.csv,5902.074349971255,-0.535475413450916,1.3754195149678183,-2.5389719122663204,0.1524227302211896,-0.1784,0.464524586549084,0.37541951496781834,-1.5389719122663204,0.3308227302211896
Glob,0,-1,1,dinst4,hindi,Econ+Loc,TRUE,stan_models/master_model.stan,hindi/dinst4/econ_0_loc_-1_glob_1.csv,9590.644483556738,-0.1469669931461079,0.9653930002919483,0.9959176583329564,0.15849876087266407,-0.1784,-0.1469669931461079,-0.0346069997080517,1.9959176583329565,0.33689876087266407
Econ+Glob,1,-1,1,dinst4,hindi,Loc,TRUE,stan_models/master_model.stan,hindi/dinst4/econ_1_loc_-1_glob_1.csv,9460.55679634749,0.7349662791820866,1.7081077640029505,1.1831401008110087,0.16959339211564733,-0.1784,-0.26503372081791343,0.7081077640029505,2.1831401008110087,0.34799339211564734
