m_pos_vars,d_coef_econ,d_coef_loc,d_coef_glob,d_id,d_experiment,m_neg_vars,is_correct_model,m_stanfile,csv_filename,seed,Econ_coef_glm,Glob_coef_glm,Loc_coef_glm,ac_dist_coef_glm,acoustic_distance,Econ_glm_diff,Glob_glm_diff,Loc_glm_diff,ac_dist_diff
NA,-1,-1,-1,dinst3,hindi,Econ+Glob+Loc,TRUE,stan_models/master_neg.stan,hindi/dinst3/econ_-1_loc_-1_glob_-1.csv,9039.561554423068,-0.49748482151377516,-0.6367008325166991,-1.404124894114415,0.1745113525237045,-0.1784,0.5025151784862248,0.36329916748330093,-0.4041248941144151,0.35291135252370454
NA,0,-1,-1,dinst3,hindi,Econ+Glob+Loc,TRUE,stan_models/master_neg.stan,hindi/dinst3/econ_0_loc_-1_glob_-1.csv,316.1241880040616,-0.002188163639376127,-0.6405993003943126,-1.0807449641335662,0.18327168702728452,-0.1784,-0.002188163639376127,0.35940069960568743,-0.08074496413356624,0.3616716870272845
Econ,1,-1,-1,dinst3,hindi,Glob+Loc,TRUE,stan_models/master_model.stan,hindi/dinst3/econ_1_loc_-1_glob_-1.csv,4039.9001863291487,0.9363260279195638,-0.8306035034142363,-1.6297696156843098,0.19507227642156047,-0.1784,-0.06367397208043624,0.16939649658576372,-0.6297696156843098,0.37347227642156045
NA,-1,0,-1,dinst3,hindi,Econ+Glob+Loc,TRUE,stan_models/master_neg.stan,hindi/dinst3/econ_-1_loc_0_glob_-1.csv,2977.1412668093108,-1.4564103548378073,-1.5631142695593634,1.3581255542414434,0.1809706571012481,-0.1784,-0.45641035483780734,-0.5631142695593634,1.3581255542414434,0.3593706571012481
NA,0,0,-1,dinst3,hindi,Econ+Glob+Loc,TRUE,stan_models/master_neg.stan,hindi/dinst3/econ_0_loc_0_glob_-1.csv,6155.408566023223,-0.44712457712035125,-0.8618436863471856,-0.12435072248989047,0.1910929050407295,-0.1784,-0.44712457712035125,0.13815631365281444,-0.12435072248989047,0.3694929050407295
Econ,1,0,-1,dinst3,hindi,Glob+Loc,TRUE,stan_models/master_model.stan,hindi/dinst3/econ_1_loc_0_glob_-1.csv,8442.57991382177,0.4540639584067787,-0.7279820840343094,2.041932082584316,0.20058256009248188,-0.1784,-0.5459360415932213,0.2720179159656906,2.041932082584316,0.3789825600924819
Loc,-1,1,-1,dinst3,hindi,Econ+Glob,TRUE,stan_models/master_model.stan,hindi/dinst3/econ_-1_loc_1_glob_-1.csv,6306.6610125033185,-1.5213084424766856,-1.4814651899838662,1.165917784629035,0.1851996750925367,-0.1784,-0.5213084424766856,-0.4814651899838662,0.16591778462903495,0.3635996750925367
Loc,0,1,-1,dinst3,hindi,Econ+Glob,TRUE,stan_models/master_model.stan,hindi/dinst3/econ_0_loc_1_glob_-1.csv,8442.881587927695,0.012568857079333588,-0.154097511120009,2.7827559470118124,0.19657543301794383,-0.1784,0.012568857079333588,0.845902488879991,1.7827559470118124,0.37497543301794384
Econ+Loc,1,1,-1,dinst3,hindi,Glob,TRUE,stan_models/master_model.stan,hindi/dinst3/econ_1_loc_1_glob_-1.csv,4832.2144986477215,0.4496169591996781,-0.6414956905518017,4.209080957815216,0.2092655218911405,-0.1784,-0.5503830408003219,0.35850430944819833,3.2090809578152157,0.3876655218911405
NA,-1,-1,0,dinst3,hindi,Econ+Glob+Loc,TRUE,stan_models/master_neg.stan,hindi/dinst3/econ_-1_loc_-1_glob_0.csv,2387.283594300039,-0.6876969532902761,0.05188233661483662,-3.494558576123849,0.17898852599223092,-0.1784,0.31230304670972386,0.05188233661483662,-2.494558576123849,0.3573885259922309
NA,0,-1,0,dinst3,hindi,Econ+Glob+Loc,TRUE,stan_models/master_neg.stan,hindi/dinst3/econ_0_loc_-1_glob_0.csv,7019.221466655843,-0.7642660297411816,0.03453067191034587,2.4130491119459707,0.18869679541453876,-0.1784,-0.7642660297411816,0.03453067191034587,3.4130491119459707,0.36709679541453877
Econ,1,-1,0,dinst3,hindi,Glob+Loc,TRUE,stan_models/master_model.stan,hindi/dinst3/econ_1_loc_-1_glob_0.csv,9080.139656206826,1.226956150796232,1.100856143387296,-0.7601558153584416,0.20151381618057615,-0.1784,0.2269561507962321,1.100856143387296,0.23984418464155843,0.3799138161805762
NA,-1,0,0,dinst3,hindi,Econ+Glob+Loc,TRUE,stan_models/master_neg.stan,hindi/dinst3/econ_-1_loc_0_glob_0.csv,7344.94359513931,-1.6276055231575552,0.047809850077762325,2.5628018234203966,0.18224139020858324,-0.1784,-0.6276055231575552,0.047809850077762325,2.5628018234203966,0.3606413902085832
