m_pos_vars,d_coef_econ,d_coef_loc,d_coef_glob,d_id,d_experiment,m_neg_vars,is_correct_model,m_stanfile,csv_filename,seed,Econ_coef_glm,Glob_coef_glm,Loc_coef_glm,ac_dist_coef_glm,acoustic_distance,Econ_glm_diff,Glob_glm_diff,Loc_glm_diff,ac_dist_diff
NA,-1,-1,-1,dinst5,hindi,Econ+Glob+Loc,TRUE,stan_models/master_neg.stan,hindi/dinst5/econ_-1_loc_-1_glob_-1.csv,2062.7078348689247,-1.9185820666013775,-0.7366601430955823,2.444301668422619,0.42109426276225803,-0.1784,-0.9185820666013775,0.26333985690441775,3.444301668422619,0.599494262762258
NA,0,-1,-1,dinst5,hindi,Econ+Glob+Loc,TRUE,stan_models/master_neg.stan,hindi/dinst5/econ_0_loc_-1_glob_-1.csv,8593.695006287191,0.3360479665350915,-0.9246457611576288,-4.987281670895778,0.468241660633973,-0.1784,0.3360479665350915,0.07535423884237125,-3.9872816708957783,0.646641660633973
Econ,1,-1,-1,dinst5,hindi,Glob+Loc,TRUE,stan_models/master_model.stan,hindi/dinst5/econ_1_loc_-1_glob_-1.csv,9095.623655135045,0.6278814132242513,-1.4007767402128262,3.262345465804928,0.48611055726043473,-0.1784,-0.3721185867757487,-0.40077674021282617,4.262345465804928,0.6645105572604347
NA,-1,0,-1,dinst5,hindi,Econ+Glob+Loc,TRUE,stan_models/master_neg.stan,hindi/dinst5/econ_-1_loc_0_glob_-1.csv,8991.632094613975,-1.243555241021055,-1.9206028067115501,0.4089211880529752,0.45844754317790015,-0.1784,-0.24355524102105508,-0.9206028067115501,0.4089211880529752,0.6368475431779002
NA,0,0,-1,dinst5,hindi,Econ+Glob+Loc,TRUE,stan_models/master_neg.stan,hindi/dinst5/econ_0_loc_0_glob_-1.csv,4695.4790158814285,1.2776211445148824,-1.6032824528760876,-3.912497077195565,0.4889613920414144,-0.1784,1.2776211445148824,-0.6032824528760876,-3.912497077195565,0.6673613920414144
Econ,1,0,-1,dinst5,hindi,Glob+Loc,TRUE,stan_models/master_model.stan,hindi/dinst5/econ_1_loc_0_glob_-1.csv,5984.0763869131915,0.6245463217277152,-0.14377062322726578,1.112259466756916,0.48303016991903364,-0.1784,-0.3754536782722848,0.8562293767727343,1.112259466756916,0.6614301699190337
Loc,-1,1,-1,dinst5,hindi,Econ+Glob,TRUE,stan_models/master_model.stan,hindi/dinst5/econ_-1_loc_1_glob_-1.csv,9381.435904145706,-0.9422795475830533,-0.3126695494029249,-1.4540801973358792,0.45527579498554366,-0.1784,0.05772045241694668,0.6873304505970751,-2.4540801973358795,0.6336757949855436
Loc,0,1,-1,dinst5,hindi,Econ+Glob,TRUE,stan_models/master_model.stan,hindi/dinst5/econ_0_loc_1_glob_-1.csv,2504.1279486634303,0.2692772769611252,-1.2760202272226935,-2.703460804250869,0.4785771143501963,-0.1784,0.2692772769611252,-0.2760202272226935,-3.703460804250869,0.6569771143501963
Econ+Loc,1,1,-1,dinst5,hindi,Glob,TRUE,stan_models/master_model.stan,hindi/dinst5/econ_1_loc_1_glob_-1.csv,5566.789135335013,1.155165707301396,0.5787755140197833,2.150639956856198,0.5185065198020088,-0.1784,0.1551657073013959,1.5787755140197834,1.1506399568561978,0.6969065198020088
NA,-1,-1,0,dinst5,hindi,Econ+Glob+Loc,TRUE,stan_models/master_neg.stan,hindi/dinst5/econ_-1_loc_-1_glob_0.csv,4873.955363778165,-0.8313251432218666,0.9920589374289471,-1.2531277225863469,0.44086630377639996,-0.1784,0.16867485677813343,0.9920589374289471,-0.25312772258634686,0.6192663037763999
