m_pos_vars,d_coef_econ,d_coef_loc,d_coef_glob,d_id,d_experiment,m_neg_vars,is_correct_model,m_stanfile,csv_filename,seed,Econ_coef_glm,Glob_coef_glm,Loc_coef_glm,ac_dist_coef_glm,acoustic_distance,Econ_glm_diff,Glob_glm_diff,Loc_glm_diff,ac_dist_diff
NA,-1,-1,-1,dinst1,hindi,Econ+Glob+Loc,TRUE,stan_models/master_neg.stan,hindi/dinst1/econ_-1_loc_-1_glob_-1.csv,4236.39327236684,-0.6053643034040473,-1.1295693741315014,-3.518732086873237,-0.2528781897780602,-0.1784,0.39463569659595266,-0.12956937413150138,-2.518732086873237,-0.0744781897780602
NA,0,-1,-1,dinst1,hindi,Econ+Glob+Loc,TRUE,stan_models/master_neg.stan,hindi/dinst1/econ_0_loc_-1_glob_-1.csv,3064.0494720998686,-1.1635267721760647,-0.2811527825116978,4.377690599993791,-0.11742370126931216,-0.1784,-1.1635267721760647,0.7188472174883023,5.377690599993791,0.06097629873068784
Econ,1,-1,-1,dinst1,hindi,Glob+Loc,TRUE,stan_models/master_model.stan,hindi/dinst1/econ_1_loc_-1_glob_-1.csv,6166.288680664031,1.315283282387456,-1.1349774234809993,-3.247839777046826,-0.07053404597854712,-0.1784,0.31528328238745607,-0.13497742348099928,-2.247839777046826,0.10786595402145288
NA,-1,0,-1,dinst1,hindi,Econ+Glob+Loc,TRUE,stan_models/master_neg.stan,hindi/dinst1/econ_-1_loc_0_glob_-1.csv,7417.967358018272,-1.0193140231767825,-1.0077143477157906,0.15477007981799168,-0.2743080628066812,-0.1784,-0.019314023176782547,-0.007714347715790604,0.15477007981799168,-0.09590806280668118
NA,0,0,-1,dinst1,hindi,Econ+Glob+Loc,TRUE,stan_models/master_neg.stan,hindi/dinst1/econ_0_loc_0_glob_-1.csv,1863.0765707965475,-0.9327575689712638,-0.254333277198408,4.811683229627116,-0.11371449736881321,-0.1784,-0.9327575689712638,0.7456667228015921,4.811683229627116,0.06468550263118679
Econ,1,0,-1,dinst1,hindi,Glob+Loc,TRUE,stan_models/master_model.stan,hindi/dinst1/econ_1_loc_0_glob_-1.csv,3089.1489109001122,2.108454006390425,-0.21762787515372145,-3.170108584347164,-0.08561170792618268,-0.1784,1.1084540063904251,0.7823721248462785,-3.170108584347164,0.09278829207381732
Loc,-1,1,-1,dinst1,hindi,Econ+Glob,TRUE,stan_models/master_model.stan,hindi/dinst1/econ_-1_loc_1_glob_-1.csv,3179.0138139035553,-0.18881772482967812,-1.5267001316125772,-2.4278315356000193,-0.23486951921927213,-0.1784,0.8111822751703219,-0.5267001316125772,-3.4278315356000193,-0.056469519219272124
Loc,0,1,-1,dinst1,hindi,Econ+Glob,TRUE,stan_models/master_model.stan,hindi/dinst1/econ_0_loc_1_glob_-1.csv,4645.316351465881,-0.15342278196016948,-1.3279823806520237,2.3873559297536717,-0.30786274205178826,-0.1784,-0.15342278196016948,-0.3279823806520237,1.3873559297536717,-0.12946274205178826
Econ+Loc,1,1,-1,dinst1,hindi,Glob,TRUE,stan_models/master_model.stan,hindi/dinst1/econ_1_loc_1_glob_-1.csv,4275.605558552081,1.651971148484021,-1.0596301159549155,1.6327314270063358,-0.186543116123631,-0.1784,0.6519711484840209,-0.05963011595491552,0.6327314270063358,-0.008143116123631
NA,-1,-1,0,dinst1,hindi,Econ+Glob+Loc,TRUE,stan_models/master_neg.stan,hindi/dinst1/econ_-1_loc_-1_glob_0.csv,3349.573750045849,-1.6123218443638445,0.5661473792702433,1.3397055503566577,-0.04099853174591412,-0.1784,-0.6123218443638445,0.5661473792702433,2.3397055503566575,0.1374014682540859
NA,0,-1,0,dinst1,hindi,Econ+Glob+Loc,TRUE,stan_models/master_neg.stan,hindi/dinst1/econ_0_loc_-1_glob_0.csv,2977.1664588938,0.2511630980454471,-0.9330584234514595,-5.0635008624406534,-0.1781959826922858,-0.1784,0.2511630980454471,-0.9330584234514595,-4.0635008624406534,2.04017307714216e-4
